project_id,line_id,project_name,bus0,bus1,segment_type,from_desc,to_desc,confidence,note,capacity_mw,capacity_source
1106,2,Bornholm Energy Island (BEI),DE00,BEIOH01,onshore-hub,"Stilow (Germany, onshore)",Bornholm Energy Island (offshore hub),high,,2000,"ONDP report, project-level total (BEI ~2GW) - project has 2 lines, unclear split"
1214,1,Hybrid Interconnector Denmark-Germany,BEIOH01,DEOH002,hub-hub,"Danish Energy Island (Bornholm, offshore hub)",German offshore grid connection point (TBD),medium,"CORRECTED from earlier table: German endpoint stated as offshore, not DE00 onshore. Onshore continuation into German mainland grid is a separate, unlisted leg. Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",,
1125,1,Offshore Wind Connection Occitanie,FROH003,FR00,hub-onshore,OSS Tramontane (offshore hub/platform),"Liviere (France, onshore substation)",low,"Tramontane is off the Aude coast (~3.3E), well west of FROH003 (6.75E, the PACA hub) - nearest available bus only, geographic mismatch likely. Possible that this hub is only radially connected to its bidding zone in open-TYNDP rather than explicitly modeled as a separate AC_OH bus, which may explain the mismatch.",,
120,1,Princess Elisabeth Island (MOG 2),BEOH001,BE00,hub-onshore,Princess Elisabeth Island - AC part (220kV),Onshore Belgium (TBD),medium,,,
120,2,Princess Elisabeth Island (MOG 2),BEOH001,BE00,hub-onshore,Princess Elisabeth Island - DC part (1050kV/1400MW),Onshore Belgium (TBD),medium,,1400,"stated on project page (DC part, 1050kV/1400MW)"
121,1,Nautilus,GB00,BEOH001,onshore-hub,"Leiston (UK, Suffolk, onshore)",Princess Elisabeth Island (offshore hub),high,"CORRECTED twice now: first from GBOH003(hub) to GB00(onshore), and location detail from Richborough/Kent(unverified web guess) to Leiston/Suffolk(per project page).",1400,"ONDP report, project-level total (Nautilus 1.4GW)"
1088,1,Latvia-Estonia Hybrid Offshore interconnector,LV00,EEOH001,onshore-hub,"Pavilosta (Latvia, onshore) - main cross-border cable","Saaremaa-Hub (Estonia, offshore hub)",high,,1000,"ONDP report, project-level total (~1GW) - project has 8 investments, unclear split"
1088,2,Latvia-Estonia Hybrid Offshore interconnector,LV00,LV00,onshore-onshore (domestic),"Pavilosta (Latvia, onshore)","Broceni (Latvia, onshore) - internal reinforcement",high,"Domestic reinforcement, not hub-connected; both ends same LV bidding zone so appears as self-loop given single-zone network.",,
1088,3,Latvia-Estonia Hybrid Offshore interconnector,LVOH001,LVOH001,hub asset,ELWIND offshore substation (Latvia),"ELWIND offshore substation (self-referential, own hub)",medium,,,
1088,4,Latvia-Estonia Hybrid Offshore interconnector,EE00,EEOH001,onshore-hub,"Lihula (Estonia, onshore) - internal reinforcement to hub",Western Saaremaa offshore hub,high,,,
1088,5,Latvia-Estonia Hybrid Offshore interconnector,EE00,EE00,onshore-onshore (domestic),"Lihula (Estonia, onshore)","Paide (Estonia, onshore) - internal reinforcement",high,"Domestic reinforcement, not hub-connected; self-loop given single EE zone.",,
1088,6,Latvia-Estonia Hybrid Offshore interconnector,EEOH001,EEOH001,hub asset (equipment only),Offshore reactive-compensation platform,No separate to/from given,low,Associated with the Estonian hub complex; not a distinct line.,,
1088,7,Latvia-Estonia Hybrid Offshore interconnector,LV00,LV00,onshore asset (substation upgrade),New onshore substation at Pavilosta,"n/a - substation build, not a line",high,,,
1088,8,Latvia-Estonia Hybrid Offshore interconnector,LV00,LV00,onshore-onshore (domestic),"Pavilosta (Latvia, onshore)","Grobina (Latvia, onshore) - OHL reconstruction",high,"Domestic reinforcement, not hub-connected; self-loop given single LV zone.",,
1092,1,TritonLink,BE00,BEIOH01,onshore-hub,"Baekeland (Belgium, onshore)",Substation on Danish Energy Island / Bornholm (offshore hub),high,"CORRECTED from earlier table: BE endpoint is onshore Baekeland substation, not the BEOH001 hub bus.",3000-10000,"ONDP report, project-level total, phased (TritonLink 3GW rising to 10GW) - NOT per-line"
1123,1,Offshore Wind Connection Centre Manche 2,FROH001,FR00,hub-onshore,Centre Manche 2 (offshore hub/platform),"Tourbe (France, onshore substation)",high,,1250,stated on project page (320kV/1250MW)
1124,1,Offshore Wind Connection South Brittany,FROH002,FR00,hub-onshore,Bretagne Sud (offshore hub),"Pluvigner (France, onshore substation)",high,,,
1126,1,Offshore Wind Connection PACA,FROH003,FR00,hub-onshore,OSS Mistral (offshore hub),"Lavera (France, onshore substation)",high,,,
1208,1,Medlink,,ITN1,"onshore-onshore (cross-border, not hub)","Annaba (Algeria, new converter) - NOT MODELED","La Spezia (Italy, existing)",n/a - not offshore-hub-connected,Algeria not represented as a bus in open-TYNDP (outside Europe) -> bus0 left blank; kept in list for completeness.,,
1208,2,Medlink,,ITCN,"onshore-onshore (cross-border, not hub)","Marsa Dhib (Tunisia, new converter) - NOT MODELED","Suvereto (Italy, existing)",n/a - not offshore-hub-connected,Tunisia not represented as a bus in open-TYNDP (outside Europe) -> bus0 left blank; kept in list for completeness.,,
1208,3,Medlink,,,"onshore-onshore (domestic, outside network)",Annaba (Algeria),Touggourt (Algeria) - domestic RES feeder,,"Entirely within Algeria -> outside open-TYNDP scope; kept in list for completeness, both buses blank.",,
1208,4,Medlink,,,"onshore-onshore (domestic, outside network)",De Jebil (Tunisia),Marsa Dhib (Tunisia) - domestic RES feeder,,"Entirely within Tunisia -> outside open-TYNDP scope; kept in list for completeness, both buses blank.",,
